,Time Window,Mac,RSSI,Frame_length,MAC Period,Occurrences,Fingerprint,No.,latitude,longitude,gnss_altitude,Classification,utm_x,utm_y,distance
99,1110.0,63:35:fa:c5:7a:89,-99.0,17.0,10.6,1.0,a,26117198,58.664430236,16.455983354,203.68000186,17.0,584457.8851921814,6503603.768140642,153.17404637020798
102,1110.0,c1:8c:19:46:d3:df,-92.0,8.0,10.6,0.2,a,26117199,58.6644516,16.45598793,203.8000031,64.0,584458.0989731064,6503606.152319445,84.31909292866256
95,1110.0,52:d9:e5:be:00:d9,-98.0,17.0,10.6,0.4,a,26117200,58.6644516,16.45598793,203.8000031,0.0,584458.0989731064,6503606.152319445,140.6527242105238
105,1110.0,ed:aa:7a:08:7c:b6,-96.0,8.0,10.6,0.2,a,26117201,58.6644516,16.45598793,203.8000031,18.0,584458.0989731064,6503606.152319445,118.59710123376694
97,1110.0,5a:e8:e6:14:9b:ff,-95.5,31.0,10.6,0.4,a,26117204,58.6644516,16.45598793,203.8000031,19.0,584458.0989731064,6503606.152319445,113.64636663857242
100,1110.0,74:cf:ba:04:75:56,-96.0,17.0,10.6,0.2,a,26117206,58.6644516,16.45598793,203.8000031,20.0,584458.0989731064,6503606.152319445,118.59710123376694
106,1110.0,f5:f7:c7:9e:a5:1f,-99.0,42.5,10.6,0.4,a,26117210,58.6644516,16.45598793,203.8000031,12.0,584458.0989731064,6503606.152319445,153.17404637020798
98,1110.0,5e:56:88:7a:1d:09,-100.0,17.0,10.6,0.2,a,26117211,58.6644516,16.45598793,203.8000031,49.0,584458.0989731064,6503606.152319445,166.81005372000593
103,1110.0,c5:7b:cc:06:8a:51,-97.0,28.0,10.6,0.4,a,26117212,58.6644516,16.45598793,203.8000031,1.0,584458.0989731064,6503606.152319445,129.1549665014884
104,1110.0,e8:a8:e0:28:59:e0,-95.0,27.0,10.6,0.2,a,26117219,58.6644516,16.45598793,203.8000031,21.0,584458.0989731064,6503606.152319445,108.90229622637305
93,1110.0,1b:b2:42:44:72:86,-101.0,31.0,10.6,0.2,a,26117223,58.66439819,16.45597649,203.5,6.0,584457.5645201625,6503600.191872475,181.65997883753266
115,1115.0,7e:d0:6d:e2:84:d7,-91.0,17.0,3.0642579999998816,1.8,a,26117245,58.66440073555556,16.455975425555557,203.7777795,61.0,584457.4966281584,6503600.473924369,77.4263682681127
111,1115.0,5e:56:88:7a:1d:09,-94.0,17.0,10.6,0.2,a,26117247,58.66439438,16.45597267,203.5,49.0,584457.3521617176,6503599.762901724,100.0
107,1115.0,1b:b2:42:44:72:86,-97.0,31.0,3.0642579999998816,1.0,a,26117248,58.664398956,16.455974958000002,203.62000124000002,6.0,584457.4738101009,6503600.275220822,129.1549665014884
119,1115.0,f5:f7:c7:9e:a5:1f,-98.5,38.0,3.0642579999998816,1.2,a,26117251,58.66440200666667,16.455976166666666,203.78333540000003,12.0,584457.5365417757,6503600.616368145,146.7799267622069
108,1115.0,44:20:a9:69:0c:92,-100.0,18.0,3.0642579999998816,0.6,a,26117254,58.664398193333334,16.455974576666666,203.60000103333334,16.0,584457.4535353724,6503600.189834306,166.81005372000593
113,1115.0,67:7f:73:40:8d:90,-100.0,17.0,10.6,0.4,a,26117255,58.664400099999995,16.455974580000003,203.59999845,61.0,584457.449120506,6503600.402104359,166.81005372000593
116,1115.0,c6:86:5b:f6:89:b6,-94.0,27.0,10.6,0.2,a,26117260,58.66439438,16.45597267,203.5,22.0,584457.3521617176,6503599.762901724,100.0
117,1115.0,df:95:52:c1:64:87,-104.0,8.0,10.6,0.2,a,26117413,58.66440582,16.45597839,203.8000031,8.0,584457.6562826092,6503601.043699477,234.62288481422624
110,1115.0,56:01:80:05:e1:b7,-96.5,18.0,10.6,0.4,a,26117415,58.66440582,16.455977439999998,204.0500031,23.0,584457.601180933,6503601.042503238,123.76350284724813
112,1115.0,60:18:fc:6c:6b:20,-91.0,17.0,10.6,0.2,a,26117416,58.66440582,16.45597839,203.8000031,7.0,584457.6562826092,6503601.043699477,77.4263682681127
